epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,5400.25,1.59431,2.43607,1.50628,1.6597,0.82287,0.69828,0.79111,0.45493,0.81438,0.68359,0.77463,0.43089,1.45699,1.81386,1.04559,1.70906,0.00804277,0.00804277,0.00804277
46,5493.85,1.5919,2.40577,1.49658,1.65801,0.78025,0.69954,0.78655,0.44941,0.76647,0.68443,0.7685,0.42365,1.42349,1.79335,1.0583,1.68488,0.00795954,0.00795954,0.00795954
47,5587.58,1.57848,2.40999,1.4722,1.65218,0.79692,0.70751,0.79993,0.4656,0.80004,0.68779,0.78455,0.44222,1.41617,1.74126,1.02684,1.66695,0.00787503,0.00787503,0.00787503
48,5681.29,1.58022,2.4461,1.47942,1.64488,0.83067,0.71632,0.8127,0.46708,0.81899,0.70625,0.80081,0.4472,1.43409,1.85384,0.9795,1.68526,0.00778929,0.00778929,0.00778929
49,5775.12,1.56379,2.40415,1.45454,1.63716,0.78198,0.74612,0.80898,0.46742,0.77889,0.73172,0.79595,0.45057,1.46228,1.80816,0.9529,1.71144,0.00770234,0.00770234,0.00770234
50,5868.83,1.57139,2.4074,1.45247,1.63906,0.81113,0.73227,0.82082,0.47786,0.8089,0.70122,0.80196,0.4531,1.39817,2.21856,0.9615,1.66078,0.00761423,0.00761423,0.00761423
51,5962.86,1.55275,2.38155,1.44901,1.6294,0.79916,0.7159,0.80739,0.46944,0.78349,0.70767,0.78853,0.44603,1.37844,1.98625,0.97728,1.6524,0.007525,0.007525,0.007525
52,6056.61,1.55453,2.38245,1.42894,1.62065,0.81019,0.71647,0.81693,0.47538,0.80367,0.69576,0.79613,0.44825,1.42066,2.16101,0.95013,1.67678,0.00743468,0.00743468,0.00743468
53,6150.35,1.55876,2.3919,1.4497,1.63693,0.81745,0.73311,0.82246,0.48204,0.79924,0.7243,0.80736,0.45473,1.39573,2.02743,0.91098,1.67235,0.00734332,0.00734332,0.00734332
54,6244.15,1.55526,2.35997,1.42712,1.63261,0.81499,0.73647,0.81975,0.48775,0.81043,0.7222,0.80818,0.4667,1.36565,2.08945,0.94223,1.64419,0.00725094,0.00725094,0.00725094
