epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,11955.5,1.1899,2.17172,1.00502,1.49184,0.82053,0.73059,0.81011,0.46743,0.80608,0.71796,0.79002,0.4306,1.43733,1.62731,0.8869,1.70795,0.00041915,0.00041915,0.00041915
51,12149.5,1.20628,2.21647,1.039,1.50961,0.81348,0.72623,0.80404,0.47021,0.80327,0.71615,0.79091,0.43215,1.38876,1.57567,0.89577,1.66382,0.0004175,0.0004175,0.0004175
52,12343.7,1.19885,2.19497,1.02531,1.49564,0.81607,0.72965,0.81104,0.47503,0.79194,0.72103,0.79284,0.43596,1.39938,1.59621,0.87261,1.67462,0.00041585,0.00041585,0.00041585
53,12537.8,1.18181,2.16582,1.00982,1.48845,0.84178,0.73807,0.82598,0.48824,0.83208,0.72872,0.81461,0.44967,1.38156,1.61549,0.84928,1.66464,0.0004142,0.0004142,0.0004142
54,12732,1.18161,2.14051,1.0048,1.48018,0.80466,0.74181,0.80991,0.48229,0.79245,0.73219,0.79666,0.4465,1.38286,1.56542,0.84995,1.6745,0.00041255,0.00041255,0.00041255
55,12925.9,1.17781,2.14361,0.99119,1.47985,0.81104,0.74369,0.82092,0.47637,0.79215,0.73199,0.80175,0.44028,1.40641,1.64927,0.87601,1.67717,0.0004109,0.0004109,0.0004109
56,13120,1.19462,2.18577,1.00637,1.48684,0.81121,0.71949,0.81498,0.47874,0.79757,0.70765,0.79304,0.43513,1.38925,1.55825,0.86994,1.63642,0.00040925,0.00040925,0.00040925
57,13354.1,1.16715,2.12423,0.97434,1.46172,0.81498,0.73759,0.82164,0.48583,0.79602,0.73559,0.80534,0.44293,1.39453,1.57184,0.85167,1.65025,0.0004076,0.0004076,0.0004076
58,13548.5,1.17832,2.16259,0.98816,1.48121,0.81381,0.76006,0.82932,0.49732,0.81196,0.74696,0.81689,0.4531,1.35533,1.59256,0.83405,1.64728,0.00040595,0.00040595,0.00040595
59,13742.6,1.18143,2.1515,0.99467,1.47906,0.8157,0.7507,0.83064,0.48943,0.80645,0.74057,0.81657,0.45362,1.36165,1.51186,0.84158,1.64368,0.0004043,0.0004043,0.0004043
60,13936.7,1.16044,2.10589,0.96348,1.4619,0.81429,0.74445,0.82671,0.47752,0.80219,0.73408,0.8094,0.44074,1.40714,1.51593,0.87103,1.68294,0.00040265,0.00040265,0.00040265
61,14186.9,1.16174,2.14061,0.97501,1.46728,0.82064,0.76006,0.83381,0.50152,0.81232,0.75257,0.82162,0.46009,1.34237,1.509,0.8224,1.613,0.000401,0.000401,0.000401
62,14385.8,1.15697,2.1216,0.95106,1.4562,0.82343,0.73433,0.8223,0.49005,0.80927,0.7217,0.80844,0.45268,1.37594,1.6173,0.82642,1.66379,0.00039935,0.00039935,0.00039935
63,14580.4,1.16276,2.11157,0.96488,1.46959,0.81639,0.74661,0.82501,0.48942,0.80065,0.73106,0.80591,0.44402,1.37881,1.56299,0.826,1.65968,0.0003977,0.0003977,0.0003977
