epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,37022.1,1.11575,1.23441,0.95992,1.42123,0.82494,0.76333,0.84369,0.54459,0.80776,0.73526,0.80732,0.49195,1.2283,0.82913,0.75242,1.65478,0.00159191,0.00159191,0.00159191
92,37259.5,1.11921,1.20852,0.9472,1.42088,0.83413,0.77025,0.84628,0.54607,0.81,0.74066,0.80881,0.49797,1.22786,0.8015,0.74326,1.65483,0.00158349,0.00158349,0.00158349
93,37544,1.13,1.20733,0.95565,1.43191,0.82875,0.7697,0.84311,0.54307,0.79351,0.73697,0.79901,0.49028,1.22107,0.84261,0.74376,1.64682,0.00157501,0.00157501,0.00157501
94,37933.4,1.11218,1.20379,0.93952,1.40789,0.83426,0.77311,0.84901,0.54735,0.80261,0.73773,0.80639,0.4881,1.2173,0.84598,0.74167,1.63753,0.00156646,0.00156646,0.00156646
95,38188.7,1.11399,1.19236,0.94342,1.41661,0.84005,0.7692,0.8449,0.54704,0.80825,0.73731,0.80397,0.49043,1.22133,0.86136,0.74244,1.65186,0.00155786,0.00155786,0.00155786
96,38503.8,1.12041,1.16104,0.9404,1.41645,0.84407,0.75871,0.84819,0.54927,0.82956,0.72262,0.80921,0.4956,1.21477,0.81996,0.73448,1.63587,0.00154919,0.00154919,0.00154919
97,38810.1,1.11699,1.20001,0.949,1.42698,0.80651,0.78709,0.84862,0.54976,0.8046,0.74024,0.81026,0.49355,1.22448,0.83871,0.73324,1.64566,0.00154047,0.00154047,0.00154047
98,39075.1,1.11658,1.20025,0.95076,1.4162,0.82863,0.7629,0.84475,0.54763,0.81235,0.72807,0.80388,0.49368,1.2075,0.8186,0.73974,1.63304,0.00153169,0.00153169,0.00153169
99,39512.2,1.11273,1.16189,0.94236,1.41995,0.84003,0.76374,0.84801,0.55088,0.82076,0.73563,0.81369,0.49824,1.20227,0.8001,0.73096,1.62668,0.00152285,0.00152285,0.00152285
100,39791.4,1.11307,1.17459,0.9396,1.41722,0.82868,0.76668,0.84418,0.54541,0.82368,0.72933,0.80862,0.49337,1.21887,0.80145,0.73943,1.63678,0.00151395,0.00151395,0.00151395
