epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,37263.7,0.90641,0.44277,0.86073,0.93036,0.81116,0.65591,0.76873,0.42679,0.80746,0.65352,0.76271,0.41138,0.15368,0.08384,0.11276,0.16659,0.0056704,0.0056704,0.0056704
48,38034.2,0.88215,0.44138,0.83227,0.91077,0.81098,0.65711,0.77112,0.427,0.8095,0.65352,0.76361,0.41179,0.15348,0.08376,0.11246,0.16632,0.00551584,0.00551584,0.00551584
49,38806,0.90064,0.43797,0.84028,0.92734,0.8153,0.65657,0.77243,0.42852,0.81315,0.65293,0.76644,0.41332,0.15325,0.08363,0.11207,0.16614,0.00536081,0.00536081,0.00536081
50,39576.2,0.87834,0.40942,0.8144,0.91524,0.81384,0.65549,0.77298,0.43008,0.8128,0.65173,0.76758,0.41306,0.1531,0.08372,0.1117,0.16605,0.00520548,0.00520548,0.00520548
51,40346.7,0.87709,0.44211,0.79827,0.91184,0.81703,0.65886,0.77472,0.4313,0.81407,0.65648,0.76861,0.41509,0.15299,0.08367,0.11134,0.16597,0.00505,0.00505,0.00505
52,41119.2,0.89975,0.42984,0.81592,0.9283,0.8185,0.65733,0.77613,0.43243,0.81111,0.6618,0.76912,0.41615,0.15289,0.08363,0.11071,0.1659,0.00489452,0.00489452,0.00489452
53,41890.6,0.87088,0.41978,0.79652,0.90352,0.81567,0.6635,0.77713,0.4331,0.81347,0.66171,0.77184,0.41649,0.15271,0.08349,0.11051,0.16585,0.00473919,0.00473919,0.00473919
54,42662.1,0.88105,0.41494,0.80982,0.91494,0.81484,0.6651,0.77762,0.43464,0.8122,0.66189,0.77284,0.41796,0.15244,0.08341,0.11017,0.16565,0.00458416,0.00458416,0.00458416
55,43433.5,0.87431,0.42004,0.79295,0.90982,0.81206,0.66726,0.7788,0.43508,0.80846,0.66565,0.77436,0.41906,0.15224,0.08333,0.10983,0.16542,0.0044296,0.0044296,0.0044296
56,44204.9,0.86931,0.41596,0.78142,0.9016,0.81017,0.66965,0.78043,0.43827,0.81174,0.66607,0.77573,0.42128,0.15213,0.08318,0.10927,0.16523,0.00427565,0.00427565,0.00427565
